RainfallJan75m,RainfallJul75m,Dem75mInteger,terrain_ruggedness_index_sept2012,wetness_index_saga_sept2012,topographic_position_index_sept2012,SouthSummerEVI,SouthSummerNDVI
82,136.6123047,67305,26.3913002,10.9907999,3.495300055,1.346202731,1.827171803
67.44380188,91.44869995,25332,5.049799919,11.54109955,2.317899942,1.364454269,1.746855259
79.37400055,94.6486969,42311,7.158899784,13.37749958,0,1.394079566,1.77646184
75,135.9936066,23943,5.545300007,14.21510029,-1.692499995,1.304808855,1.777904272
74.57569885,117.947403,69256,20.45120049,11.7215004,0.220799997,1.294365525,1.708576918
53.64170074,124.4120026,30861,7.449800014,13.29220009,0.220799997,1.289443135,1.680462003
77.99970245,131,56034,19.44869995,10.31719971,3.71600008,1.33538115,1.718058586
72.09919739,145.3840942,31975,10.3441,14.25590038,-0.846199989,1.285475612,1.77024889
82.09700012,193.8721008,112163,10.94299984,11.15880013,1.140499949,1.323971987,1.741324902
76.96920013,87.65119934,28316,31.08049965,12.02830029,-1.913200021,1.385898948,1.671541095
72.43540192,173.6316071,74750,3.5,14.43459988,-0.772599995,1.336044312,1.691159248
78.35440063,203.6434021,84848,10.54749966,11.32919979,0.257499993,1.306281447,1.695509195
84.19159698,192.9376068,75809,27.26259995,10.24580002,-0.404700011,1.359007835,1.792279482
66.13939667,144.1537933,33993,7.889900208,14.66759968,-1.802800059,1.331894517,1.767505765
76,148.1161041,75655,17.11720085,10.62749958,1.50849998,1.342911839,1.69879508
79.17289734,132.906601,52994,8.514699936,12.50549984,-2.796200037,1.219151735,1.778550148
77.47699738,91.83730316,42007,15.77180004,10.48799992,2.796200037,1.331690669,1.796368361
76.72810364,87.73950195,36776,9.447199821,10.93299961,1.067000031,1.345723391,1.751016259
54.01990128,112.2071991,64071,6.020800114,13.68319988,-2.170799971,1.305153131,1.688251257
75,188.7521973,93396,12.61940002,11.41020012,1.729300022,1.31297946,1.72995019
55.72240067,112.930397,55652,18.45940018,10.52029991,2.501899958,1.266158938,1.682783008
83.3792038,168.1634979,76186,12.42980003,12.15579987,1.950000048,1.38834548,1.832469702
79.95059967,206.574707,97718,6.98210001,11.75979996,3.274600029,1.340668559,1.775635958
79.90480042,92,53859,7.14139986,11.72439957,2.134000063,1.408254147,1.78382647
73.97920227,182.1237946,65777,14.46549988,12.20650005,-3.421700001,1.32006228,1.715542555
81,97.70649719,45117,13.58310032,12.09140015,-0.515100002,1.403001428,1.804347754
82.18299866,195.6282959,117028,12.51000023,11.68120003,3.789599895,1.406839371,1.777220607
77.68009949,152.915802,64537,15.16580009,10.35229969,2.391499996,1.301819086,1.66651535
75.55269623,186.9537048,80337,8.381500244,11.37650013,2.796299934,1.272705913,1.659793735
83,189.8524933,102199,8.81760025,12.27019978,-0.515100002,1.365625739,1.780548573
84,175.9891052,79387,18.79490089,11.44610023,-2.060400009,1.323994994,1.754131436
76.58769989,132.1428986,42465,13.5,10.54819965,2.317899942,1.358735442,1.836080551
75.12239838,133.0751038,37675,11.4126997,11.55410004,1.030200005,1.34920764,1.814830303
76.95259857,88.25460052,37764,8.514699936,14.58679962,1.324499965,1.36134994,1.756356001
62,79.00810242,18494,3.968600035,12.47389984,0.772599995,1.322052836,1.580223322
83,171.240097,80566,1.322900057,14.50249958,0.184,1.309534431,1.81122756
47.00130081,89.98670197,41700,3.70810008,16.06130028,-1.324499965,1.297907591,1.682742596
83.03569794,175.2624969,84169,12.81599998,11.07460022,-0.551900029,1.386191487,1.717081785
76.81539917,159.4506989,59536,13.47220039,10.57649994,3.568900108,1.324343324,1.707451701
70.54759979,105.9149017,27548,15.82719994,12.33030033,1.802800059,1.366337419,1.781431437
80.83750153,95.01950073,44287,6.83739996,12.19089985,0.478300005,1.288936853,1.706998825
