planta;parche;diam;peso;az;pulpa;sem;pulpa.sem
P2-155;P2;7.137;0.184;17.75;0.159;0.0254;6.248
P2-155;P2;6.75;0.142;21.75;0.123;0.019;6.484
P2-155;P2;7.023;0.172;19.5;0.143;0.0288;4.964
P2-155;P2;8.975;0.383;23;0.335;0.0484;6.917
P2-155;P2;8.987;0.384;19.5;0.339;0.0455;7.45
P3-1;P3;8.511;0.333;20.5;0.29;0.0427;6.797
P3-1;P3;7.699;0.245;27.5;0.204;0.0407;5.019
P3-1;P3;8.225;0.302;21;0.251;0.0509;4.932
P3-1;P3;6.846;0.153;42.5;0.099;0.0532;1.868
P3-1;P3;8.257;0.305;22.25;0.254;0.0519;4.885
P3-1;P3;9.514;0.442;23.5;0.376;0.0652;5.772
P3-1;P3;7.654;0.24;22.5;0.19;0.0497;3.831
P3-1;P3;7.311;0.203;33.5;0.158;0.0448;3.53
P3-1;P3;7.26;0.197;28.75;0.162;0.0357;4.53
P3-2;P3;7.951;0.272;24.5;0.206;0.0665;3.094
P3-2;P3;7.321;0.204;20.5;0.156;0.0476;3.286
P3-2;P3;8.046;0.283;24;0.223;0.0599;3.717
P3-2;P3;8.25;0.305;24.25;0.235;0.0696;3.377
P3-2;P3;7.704;0.246;21.5;0.193;0.0528;3.65
P3-2;P3;8.196;0.299;25.5;0.236;0.0633;3.721
P3-2;P3;7.595;0.234;23.75;0.171;0.0628;2.722
P3-2;P3;7.376;0.21;21.25;0.167;0.0432;3.861
P3-2;P3;7.579;0.232;21;0.185;0.0474;3.894
P3-2;P3;7.579;0.232;26.5;0.172;0.0597;2.886
P3-2;P3;7.916;0.268;29;0.208;0.06;3.475
P3-2;P3;8.091;0.287;24.5;0.229;0.058;3.956
P3-2;P3;8.305;0.311;21.75;0.249;0.0621;4.002
P3-2;P3;8.523;0.334;25.5;0.266;0.0679;3.922
P3-2;P3;7.212;0.192;21.5;0.139;0.0537;2.58
P3-2;P3;6.929;0.162;25;0.102;0.0594;1.72
P3-2;P3;7.922;0.269;26;0.216;0.0533;4.049
P3-2;P3;6.502;0.115;27.25;0.066;0.0493;1.339
P3-2;P3;8.196;0.299;23.25;0.234;0.0645;3.633
P3-2;P3;7.82;0.258;26;0.212;0.046;4.611
P3-2;P3;8.052;0.283;24.25;0.219;0.0642;3.411
P3-2;P3;7.477;0.221;25.5;0.154;0.0665;2.322
P3-2;P3;7.457;0.219;22;0.179;0.0396;4.524
P3-2;P3;8.25;0.305;23;0.25;0.0547;4.57
P3-2;P3;7.267;0.198;25.25;0.146;0.0526;2.768
P3-2;P3;7.481;0.221;23.5;0.167;0.0548;3.04
P3-2;P3;7.761;0.252;21.5;0.191;0.061;3.126
P3-2;P3;8.018;0.28;23.25;0.22;0.0596;3.69
P3-2;P3;6.522;0.117;NA;0.069;0.0488;1.408
P3-2;P3;7.977;0.275;24.5;0.22;0.0546;4.038
P3-6;P3;7.75;0.251;30.25;0.211;0.0398;5.294
P3-6;P3;7.695;0.245;23.25;0.207;0.0379;5.452
P3-6;P3;7.047;0.174;25;0.138;0.0366;3.764
P3-6;P3;8.454;0.327;26;0.278;0.0483;5.765
P3-6;P3;7.912;0.268;20.75;0.221;0.0473;4.667
P3-6;P3;7.154;0.186;22;0.152;0.0335;4.551
