ID;basal_area;Number_of_stems;mean_stem_basal_area;Xrange;Yrange;RangeAvg;infected;CI_tree
383;0.088357293;2;0.044178647;0.382;0.141;0.2615;0;2.851540568
2837;0.066051986;1;0.066051986;0;0;0;0;2.84899705
39;0.094326319;2;0.04716316;0.819;0.507;0.663;0;2.834353559
3631;0.057255526;1;0.057255526;0;0;0;0;2.828123173
170;0.066366145;2;0.033183073;1.397;0.058;0.7275;0;2.824908248
2555;0.070685835;1;0.070685835;0;0;0;0;2.818385546
100;0.112233398;2;0.056116699;0.058;0.421;0.2395;0;2.801991388
2551;0.053092916;1;0.053092916;0;0;0;0;2.799464672
155;0.095897116;3;0.031965705;0.873;0.461;0.667;0;2.792830279
2436;0.080424772;1;0.080424772;0;0;0;0;2.780651326
172;0.087100656;2;0.043550328;0.462;1.118;0.79;1;2.765404352
371;0.063460172;2;0.031730086;0.27;0.16;0.215;0;2.763500881
3609;0.080424772;1;0.080424772;0;0;0;0;2.750459737
97;0.106185832;2;0.053092916;0.16;0.381;0.2705;0;2.745578565
2770;0.061575216;1;0.061575216;0;0;0;0;2.719029752
3582;0.090792028;1;0.090792028;0;0;0;1;2.695471424
276;0.090634948;2;0.045317474;0.087;0.473;0.28;0;2.689331941
102;0.091420346;3;0.030473449;0.139;1.1;0.6195;0;2.686707232
3420;0.080424772;1;0.080424772;0;0;0;0;2.683937216
278;0.079560834;2;0.039780417;0.621;0.375;0.498;0;2.678912727
279;0.084508842;2;0.042254421;0.343;0.678;0.5105;0;2.666477154
2228;0.101787602;1;0.101787602;0;0;0;0;2.654222213
3011;0.057255526;1;0.057255526;0;0;0;0;2.64829694
3382;0.101787602;1;0.101787602;0;0;0;0;2.606685627
3284;0.057255526;1;0.057255526;0;0;0;0;2.598513219
3599;0.061575216;1;0.061575216;0;0;0;0;2.597516347
159;0.089535391;3;0.02984513;0.634;0.596;0.615;0;2.596894338
300;0.086079639;2;0.04303982;1.262;0.459;0.8605;1;2.553685838
87;0.104379416;3;0.034793139;0.526;1.025;0.7755;0;2.548842332
181;0.098096231;3;0.032698744;0.791;0.754;0.7725;0;2.546910576
298;0.083409285;3;0.027803095;0.282;0.889;0.5855;0;2.514647795
344;0.083252205;2;0.041626103;0.372;0.706;0.539;0;2.508913222
166;0.087100656;2;0.043550328;0.713;0.216;0.4645;0;2.499758628
2338;0.080424772;1;0.080424772;0;0;0;1;2.492861909
2442;0.053092916;1;0.053092916;0;0;0;0;2.474675991
31;0.066051986;2;0.033025993;0.116;0.489;0.3025;0;2.472353763
3463;0.061575216;1;0.061575216;0;0;0;0;2.471940734
2097;0.075476764;1;0.075476764;0;0;0;0;2.469064647
258;0.086786497;2;0.043393249;0.229;0.258;0.2435;0;2.469005519
2024;0.080424772;1;0.080424772;0;0;0;0;2.458795643
265;0.084508842;2;0.042254421;0.625;0.401;0.513;0;2.454569512
152;0.094326319;2;0.04716316;0.674;0.704;0.689;0;2.449187667
2205;0.075476764;1;0.075476764;0;0;0;0;2.430059548
373;0.101473443;3;0.033824481;0.422;0.935;0.6785;0;2.406757307
3590;0.041547563;1;0.041547563;0;0;0;1;2.403923678
3346;0.061575216;1;0.061575216;0;0;0;0;2.399046351
2309;0.038013271;1;0.038013271;0;0;0;0;2.390749217
2129;0.061575216;1;0.061575216;0;0;0;1;2.389439098
119;0.065816366;5;0.013163273;0.68;0.884;0.782;0;2.386138958
241;0.084508842;2;0.042254421;1.385;0.318;0.8515;0;2.378647929
63;0.100845124;3;0.033615041;0.286;1.101;0.6935;0;2.377293076
329;0.096211275;2;0.048105638;0.728;0.572;0.65;0;2.358420095
54;0.066758844;2;0.033379422;0.419;0.421;0.42;0;2.340810951
290;0.08144579;3;0.027148597;0.359;2.379;1.369;0;2.319294148
3493;0.080424772;1;0.080424772;0;0;0;0;2.314225907
2367;0.061575216;1;0.061575216;0;0;0;0;2.308623366
154;0.102573;3;0.034191;0.915;1.167;1.041;0;2.290872214
2285;0.080424772;1;0.080424772;0;0;0;0;2.255951232
176;0.108384947;4;0.027096237;0.628;1.774;1.201;0;2.255496151
91;0.103358398;3;0.034452799;0.701;0.61;0.6555;0;2.240841356
116;0.100845124;4;0.025211281;0.797;0.801;0.799;0;2.231625548
330;0.09833185;2;0.049165925;0.222;0.667;0.4445;0;2.180744144
3511;0.080424772;1;0.080424772;0;0;0;1;2.1718161
137;0.07696902;3;0.02565634;0.988;1.094;1.041;0;2.16320228
2139;0.061575216;1;0.061575216;0;0;0;0;2.127238493
8;0.079874993;2;0.039937497;0.398;0.019;0.2085;0;2.126924652
380;0.102180301;2;0.051090151;0.326;0.522;0.424;0;2.11106761
68;0.071785392;3;0.023928464;0.655;1.239;0.947;0;2.108375107
269;0.091498886;2;0.045749443;0.493;0.276;0.3845;1;2.08575852
3510;0.066051986;1;0.066051986;0;0;0;0;2.085338361
156;0.117024326;2;0.058512163;1.072;0.025;0.5485;0;2.080641029
369;0.106185832;2;0.053092916;0.307;0.67;0.4885;0;2.075247635
379;0.083252205;2;0.041626103;0.73;2.052;1.391;0;2.069961886
323;0.116945787;2;0.058472894;0.225;0.475;0.35;0;2.053236883
353;0.126763264;3;0.042254421;0.986;0.73;0.858;0;2.051731162
305;0.076026542;2;0.038013271;0.122;0.764;0.443;0;2.051673273
2451;0.070685835;1;0.070685835;0;0;0;0;2.049816684
160;0.107913708;3;0.035971236;1.366;0.432;0.899;1;2.035677637
2145;0.096211275;1;0.096211275;0;0;0;0;2.035442363
205;0.106342911;2;0.053171456;0.339;0.486;0.4125;0;2.02952615
2447;0.08552986;1;0.08552986;0;0;0;1;2.023892266
99;0.143570784;3;0.047856928;0.867;0.883;0.875;0;2.019275703
2194;0.101787602;1;0.101787602;0;0;0;0;2.017741974
65;0.052307518;2;0.026153759;1.216;0.199;0.7075;0;2.005067886
3416;0.096211275;1;0.096211275;0;0;0;1;1.99607453
2815;0.075476764;1;0.075476764;0;0;0;0;1.986605713
